Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance in Ohms @ 25°C","Resistance Tolerance","B Value Tolerance","B0/50","B25/50","B25/75","B25/85","B25/100","Operating Temperature","Power - Max","Length - Lead Wire","Mounting Type","Package / Case"
http://www.vishay.com/docs/29164/ntcalug01t.pdf,//media.digikey.com/Photos/Vishay%20BC%20Photos/MFG_NTCALUG01T103F.jpg,56-NTCALUG01T103G-ND,NTCALUG01T103G,Vishay BC Components,THERM NTC 10KOHM 3984K RING LUG,0,0,"3.10000","0","1","-","Automotive, AEC-Q200, NTCA","Active","10k","±2%","±0.5%","-","-","-","3984K","-","-40°C ~ 150°C","-","5.91"" (150.00mm)","Free Hanging","Ring Lug"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987652-1521.PDF,-,900-2146542603-ND,2146542603,Molex,NTC RING CABLE - 3964 M3.5 75MM,0,0,"3.29000","0","1","-","214654","Active","10k","±2%","-","-","-","-","3964K","-","-40°C ~ 150°C","100mW","2.95"" (75.00mm)","Free Hanging","Ring Lug"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987652-1521.PDF,-,900-2146502603-ND,2146502603,Molex,NTC RING CABLE - 3600 M3.5 75MM,0,0,"3.33000","0","1","-","214650","Active","10k","±2%","-","-","-","-","3600K","-","-40°C ~ 150°C","100mW","2.95"" (75.00mm)","Free Hanging","Ring Lug"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987652-1521.PDF,-,900-2146522603-ND,2146522603,Molex,NTC RING CABLE - 3802 M3.5 75MM,0,0,"3.33000","0","1","-","214652","Active","10k","±2%","-","-","-","-","3802K","-","-40°C ~ 150°C","100mW","2.95"" (75.00mm)","Free Hanging","Ring Lug"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987652-1521.PDF,-,900-2146541603-ND,2146541603,Molex,NTC RING CABLE - 3964 M3.5 75MM,0,0,"3.40000","0","1","-","214654","Active","10k","±1%","-","-","-","-","3964K","-","-40°C ~ 150°C","100mW","2.95"" (75.00mm)","Free Hanging","Ring Lug"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987652-1521.PDF,-,900-2146501603-ND,2146501603,Molex,NTC RING CABLE - 3600 M3.5 75MM,0,0,"3.43000","0","1","-","214650","Active","10k","±1%","-","-","-","-","3600K","-","-40°C ~ 150°C","100mW","2.95"" (75.00mm)","Free Hanging","Ring Lug"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987652-1521.PDF,-,900-2146521603-ND,2146521603,Molex,NTC RING CABLE - 3802 M3.5 75MM,0,0,"3.43000","0","1","-","214652","Active","10k","±1%","-","-","-","-","3802K","-","-40°C ~ 150°C","100mW","2.95"" (75.00mm)","Free Hanging","Ring Lug"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987652-1521.PDF,-,900-2146572603-ND,2146572603,Molex,NTC RING CABLE - 4020 M3.5 75MM,0,0,"3.47000","0","1","-","214657","Active","10k","±2%","-","-","-","-","4020K","-","-40°C ~ 150°C","100mW","2.95"" (75.00mm)","Free Hanging","Ring Lug"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987652-1521.PDF,-,900-2146571603-ND,2146571603,Molex,NTC RING CABLE - 4020 M3.5 75MM,0,0,"3.60000","0","1","-","214657","Active","10k","±1%","-","-","-","-","4020K","-","-40°C ~ 150°C","100mW","2.95"" (75.00mm)","Free Hanging","Ring Lug"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS3KG203HC4NB-ND,NTCDS3KG203HC4NB,TDK Corporation,"NTC AXIAL LEAD, 4X2.0, 20K/3%, 3",0,0,"3.85000","0","1","-","NTCD","Active","20k","±3%","±2%","-","-","-","3500K","3522K","-40°C ~ 250°C","20mW","0.16"" (4.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS3HG222HC4NB-ND,NTCDS3HG222HC4NB,TDK Corporation,"NTC AXIAL LEAD, 4X2.0, 2.186K/3%",0,0,"3.85000","0","1","-","NTCD","Active","2.186k","±3%","±2%","-","-","-","3392K","3398K","-40°C ~ 250°C","20mW","0.16"" (4.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS4AG503HC4NB-ND,NTCDS4AG503HC4NB,TDK Corporation,"NTC AXIAL LEAD, 4X2.0, 50K/3%, 4",0,0,"3.85000","0","1","-","NTCD","Active","50k","±3%","±2%","-","-","-","4000K","4008K","-40°C ~ 250°C","20mW","0.16"" (4.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS3UG942HC3NB-ND,NTCDS3UG942HC3NB,TDK Corporation,"NTC AXIAL LEAD, 3X1.8, 9.395K/3%",0,0,"3.85000","0","1","-","NTCD","Active","9.395k","±3%","±2%","-","-","-","3940K","3934K","-40°C ~ 250°C","10mW","0.12"" (3.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS4AG503HC3NB-ND,NTCDS4AG503HC3NB,TDK Corporation,"NTC AXIAL LEAD, 3X1.8, 50K/3%, 4",0,0,"3.85000","0","1","-","NTCD","Active","50k","±3%","±2%","-","-","-","4000K","4008K","-40°C ~ 250°C","10mW","0.12"" (3.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS3HG103HC4NB-ND,NTCDS3HG103HC4NB,TDK Corporation,"NTC AXIAL LEAD, 4X2.0, 10K/3%, 3",0,0,"3.85000","0","1","-","NTCD","Active","10k","±3%","±2%","-","-","-","3400K","3418K","-40°C ~ 250°C","20mW","0.16"" (4.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS4AG502HC4NB-ND,NTCDS4AG502HC4NB,TDK Corporation,"NTC AXIAL LEAD, 4X2.0, 5K/3%, 40",0,0,"3.85000","0","1","-","NTCD","Active","5k","±3%","±2%","-","-","-","4000K","3985K","-40°C ~ 250°C","20mW","0.16"" (4.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS3KG492HC4NB-ND,NTCDS3KG492HC4NB,TDK Corporation,"NTC AXIAL LEAD, 4X2.0, 4.961K/3%",0,0,"3.85000","0","1","-","NTCD","Active","4.961k","±3%","±2%","-","-","-","3480K","3496K","-40°C ~ 250°C","20mW","0.16"" (4.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS3KG203HC3NB-ND,NTCDS3KG203HC3NB,TDK Corporation,"NTC AXIAL LEAD, 3X1.8, 20K/3%, 3",0,0,"3.85000","0","1","-","NTCD","Active","20k","±3%","±2%","-","-","-","3500K","3522K","-40°C ~ 250°C","10mW","0.12"" (3.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS3HG222HC3NB-ND,NTCDS3HG222HC3NB,TDK Corporation,"NTC AXIAL LEAD, 3X1.8, 2.186K/3%",0,0,"3.85000","0","1","-","NTCD","Active","2.186k","±3%","±2%","-","-","-","3392K","3398K","-40°C ~ 250°C","10mW","0.12"" (3.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS3SG104HC3NB-ND,NTCDS3SG104HC3NB,TDK Corporation,"NTC AXIAL LEAD, 3X1.8, 100K/3%,",0,0,"3.85000","0","1","-","NTCD","Active","100k","±3%","±2%","-","-","-","3850K","3867K","-40°C ~ 250°C","10mW","0.12"" (3.00mm)","Through Hole","Axial"
https://product.tdk.com/info/en/catalog/datasheets/sensor_ntc-thermistor_element_en.pdf?ref_disty=digikey,//media.digikey.com/Photos/TDK%20Photos/MFG_NTCDS_Series.jpg,445-NTCDS3LG202HC4NB-ND,NTCDS3LG202HC4NB,TDK Corporation,"NTC AXIAL LEAD, 4X2.0, 2K/3%, 35",0,0,"3.85000","0","1","-","NTCD","Active","2k","±3%","±2%","-","-","-","3535K","3535K","-40°C ~ 250°C","20mW","0.16"" (4.00mm)","Through Hole","Axial"
