Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance @ 25°C","Resistance Tolerance","Operating Temperature","Power - Max","Mounting Type","Package / Case","Supplier Device Package"
https://www.tdk-electronics.tdk.com/inf/55/db/PTC/PTC_Sensors_B59008_C8.pdf,-,495-76321-ND,B59008C0160A040,TDK Electronics Inc.,THERMISTOR PTC 250 OHM RADIAL,1000,0,"1.93000","0","1","Bulk","-","Active","250 Ohms","-","90°C ~ 160°C","-","PCB, Through Hole","Radial","-"
https://www.tdk-electronics.tdk.com/inf/55/db/PTC/PTC_ICL_OC_Leaded_260V_1000V.pdf,-,495-76143-ND,B59770C0120A070,TDK Electronics Inc.,THERMISTOR PTC 70 OHM 25% DISC,914,0,"2.19000","0","1","Bulk","-","Active","70 Ohms","±25%","-40°C ~ 125°C","-","Through Hole","Disc, 13mm Dia x 7.5mm W","-"
https://www.tdk-electronics.tdk.com/inf/55/db/PTC/PTC_Motor_protection_M1300.pdf,-,495-76356-ND,B59300M1155A070,TDK Electronics Inc.,THERMISTOR PTC 300 OHM RADIAL,99,0,"7.23000","0","1","Bulk","B59300","Active","300 Ohms","-","90°C ~ 160°C","-","PCB, Through Hole","Radial","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftmp63,-,296-TMP6331DETR-ND,TMP6331DECT,Texas Instruments,TMP6331DECT,250,10000,"0.10560","0","250","-","*","Active","-","-","-","-","-","-","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftmp63,-,296-TMP6331DECT-ND,TMP6331DECT,Texas Instruments,TMP6331DECT,250,10000,"0.24000","0","1","-","*","Active","-","-","-","-","-","-","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftmp63,-,296-TMP6331DEDKR-ND,TMP6331DECT,Texas Instruments,TMP6331DECT,250,10000,"Digi-Reel","0","1","-","*","Active","-","-","-","-","-","-","-"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ptc/r90e.ashx?la=en,//media.digikey.com/Photos/Murata%20Photos/PTFM04B.JPG,490-18171-ND,PTFM04BC222Q2N34BS,Murata Electronics,THERMISTOR PTC 16V 2.2K OHM 110C,290,0,"1.05000","0","1","Bulk","Posistor®","Active","2.2 kOhms","-","-10°C ~ 40°C","-","Through Hole","Radial","Radial Lead"
https://www.tdk-electronics.tdk.com/inf/55/db/PTC/PTC_Sensors_B59008_C8.pdf,-,495-77683-ND,B59008C0100A040,TDK Electronics Inc.,THERMISTOR PTC 250 OHM RADIAL,1000,0,"1.93000","0","1","Bulk","-","Active","250 Ohms","-","90°C ~ 160°C","-","PCB, Through Hole","Radial","-"
https://www.tdk-electronics.tdk.com/inf/55/db/PTC/PTC_Sensors_B59008_C8.pdf,-,495-77682-ND,B59008C0090A040,TDK Electronics Inc.,THERMISTOR PTC 250 OHM RADIAL,790,0,"1.93000","0","1","Bulk","-","Active","250 Ohms","-","90°C ~ 160°C","-","PCB, Through Hole","Radial","-"
-,-,495-77702-ND,B59052D1080A040,TDK Electronics Inc.,PTC THERMISTOR,800,0,"2.05000","0","1","-","B59052","Active","100 Ohms","-","-","-","-","-","-"
