Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Core Processor","Speed","Number of Cores","Power (Watts)","Cooling Type","Size / Dimension","Form Factor","Expansion Site/Bus","RAM Capacity/Installed","Storage Interface","Video Outputs","Ethernet","USB","RS-232 (422, 485)","Digital I/O Lines","Analog Input:Output","Watchdog Timer","Operating Temperature"
http://www.udoo.org/download/files/datasheets/datasheet_udoo_neo.pdf,//media.digikey.com/Photos/UDOO/SA69-0200-1000-C0-%28top%29.jpg,1485-1013-ND,SA69-0200-1000-C0,UDOO,UDOO NEO EXTND SBC 1GB RAM,250,0,"63.69000","0","1","-","NEO","Active","ARM® Cortex®-A9 + M4, i.MX6Solo","1.0GHz","3","-","-","2.2"" x 2.7"" (56mm x 68.6mm)","-","-","1GB/1GB","SD/SDIO, SPI","HDMI, LVDS","-","USB 2.0 type A (1), USB Micro (1)(1 OTG)","-","36","6:0","-","-"
https://www.digi.com/resources/documentation/digidocs/pdfs/0190067_j.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/101-0357.jpg,316-1080-ND,20-101-0357,Digi,COMPUTER SINGLE-BOARD BL1810,254,0,"75.00000","0","1","-","Jackrabbit","Not For New Designs","Rabbit 2000","14.74MHz","1","-","-","2.50"" x 3.50"" (64mm x 89mm)","-","-","512KB/128KB","-","-","-","-","4","10","1:2","Yes","-40°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/TechNexion%20PDFs/PICO%E2%80%90PI%E2%80%90IMX7_Web.pdf,//media.digikey.com/Photos/Wandboard%20Org%20Photos/MFG_PICO-PI-IMX.jpg,1406-0013-ND,PICO-PI-IMX7,Wandboard.Org,STARTER KIT FOR ANDROID,51,0,"120.15000","0","1","-","PICO","Active","ARM® Cortex®-A7 + M4, i.MX7Dual","1GHz","2","-","-","-","-","GPIO, I²C, SPI, TTL, UART","512MB/0MB","eMMC","PXP","GbE","USB 2.0 (1), USB 2.0 OTG (1)","-","-","-","-","0°C ~ 60°C"
https://www.netburner.com/download/legacy-sb72-datasheet/?wpdmdl=4155&ind=0,//media.digikey.com/Photos/NetBurner%20Photos/MFG_SB72-301IR.JPG,528-1018-ND,SB72-301IR,NetBurner Inc.,BOARD SERIAL-ETHERNET 512K FLASH,30,0,"139.00000","0","1","-","SB","Active","ColdFire 5272","62.5MHz","1","-","-","3.25"" x 2"" (82.55mm x 50.8mm)","-","-","8MB/8MB","-","-","10/100Mbps (1)","-","2","-","-","-","-40°C ~ 85°C"
https://www.digi.com/pdf/ds_bl4s100.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/20-101-1258.JPG,316-1171-ND,20-101-1258,Digi,COMPUTER SINGLE-BOARD BL4S160,71,0,"150.00000","0","1","-","SBC BL4S100","Active","Rabbit 4000","40MHz","1","2W","-","3.75"" x 5.75"" (96mm x 146mm)","-","-","1.5MB/1.5MB","-","-","10Mbps (1)","-","3","20","8:0","Yes","-40°C ~ 85°C"
http://ftp1.digi.com/support/documentation/0900150_j.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/20-101-0525.JPG,316-1115-ND,20-101-0525,Digi,COMPUTER SINGLE-BOARD LP3500 FOX,69,0,"215.00000","0","1","-","FOX","Not For New Designs","Rabbit 3000","7.4MHz","1","-","-","2.60"" x 3.65"" (66mm x 93mm)","-","-","512KB/512KB","-","-","-","-","6","26","8:3","Yes","-40°C ~ 70°C"
https://www.digi.com/pdf/ds_bl4s200.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_20-101-1220.jpg,316-1164-ND,20-101-1220,Digi,COMPUTER SINGLE-BOARD BL4S200,146,0,"291.00000","0","1","-","SBC BL4S200","Active","Rabbit 4000","58.98MHz","1","4.5W","-","3.75"" x 5.75"" (96mm x 146mm)","-","-","512KB/512KB","-","-","10/100Mbps (1)","-","5","32","8:2","Yes","-20°C ~ 85°C"
https://www.digi.com/pdf/ds_bl2600.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/20-101-0889%20VIEW%201%20OF%202.JPG,316-1199-ND,20-101-0889,Digi,COMPUTER SGL-BRD 44.2MHZ BL2600,0,0,"312.00000","0","1","-","Wolf","Not For New Designs","Rabbit 3000","44.2MHz","1","3.4W","-","4.85"" x 4.96"" (123mm x 126mm)","-","-","512KB/512KB","-","-","10/100Mbps (1)","-","5","36","8:4","Yes","-40°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/CC-SB-WMX-L87C_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_CC-SB-WMX-L87C.jpg,602-2237-ND,CC-SB-WMX-L87C,Digi,CONNECTCORE WI-I.MX6DUAL,44,0,"334.67000","0","1","-","ConnectCore® 6","Active","ARM® Cortex®-A9, i.MX6Dual","800MHz","2","-","-","3.937"" x 2.835"" (100mm x 72mm)","Pico-ITX","CAN, I²C, SPI, Wi-Fi/Bluetooth, XBee RF, Cellular","1GB/-","eMMC/SD","HDMI, LCD, LVDS, MIPI-DSI","GbE","USB 2.0 (4)","1","12","-","-","-40°C ~ 85°C (TA)"
https://www.versalogic.com/Products/PDF/DS-Tomcat.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_Tomcat.jpg,1241-1019-ND,VL-EPM-16F,VersaLogic Corporation,SBC VORTEX 800 MHZ 256MB,367,0,"421.00000","0","1","-","Tomcat","Active","Vortex86DX","800MHz","1","3W","Heat Sink","3.6"" x 3.8"" (90mm x 96mm)","PC/104","PC/104-Plus","256MB/256MB","ATA66, CompactFlash","-","10/100Mbps (1)","USB 2.0 (2)","4","0","0:0","Yes","-40°C ~ 85°C"
