Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Element Type","Temperature Range","Length - Lead Wire","Conductor Type","Terminal Type"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0198_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0198.jpg,1738-1311-ND,DFR0198,DFRobot,WATERPROOF DS18B20 DIGITAL TEMPE,15,0,"6.97000","0","1","-","-","Active","IC","-55°C ~ 125°C","-","-","Exposed Lead Wires"
//media.digikey.com/pdf/Data%20Sheets/Digilent%20PDFs/240-080_Web.pdf,"//media.digikey.com/photos/Digilent,%20Inc/240-080.JPG",1286-1099-ND,240-080,"Digilent, Inc.",THERMOCOUPLE WIRE K-TYPE 1M,1009,0,"9.99000","0","1","-","-","Active","K - Type","-73°C ~ 482°C","3.281' (1m)","-","Wire Terminal"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/SEN-11050_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/SEN-11050.jpg,1568-1228-ND,SEN-11050,SparkFun Electronics,TEMP SENSOR WTRPRF DS18B20 11050,575,0,"11.95000","0","1","-","-","Active","IC","-55°C ~ 125°C","-","-","Exposed Lead Wires"
http://www.ia.omron.com/data_pdf/cat/e52_ds_e_21_5_csm227.pdf,//media.digikey.com/photos/Omron%20Auto/E52-CA1GTY.jpg,Z3794-ND,E52-CA1GTY 2M,Omron Automation and Safety,TEMPERATURE SENSOR,117,0,"85.68000","0","1","-","E52","Active","K - Type","0 ~ 300°C","6.562' (2m)","Grounded","Exposed Lead Wires, Crimping Terminals"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/11014_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_11014.jpg,1890-1026-ND,11014,"Makeblock Co., LTD.",ME TEMPERATURE SENSOR-WATERPROOF,173,0,"9.09000","0","1","-","-","Active","IC","-55°C ~ 125°C","17.72"" (450.00mm)","3 Conductor System","Connector"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/381_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_381.jpg,1528-1592-ND,381,Adafruit Industries LLC,WATERPROOF DS18B20 DIGITAL TEMPE,947,0,"9.95000","0","1","-","-","Active","-","-","-","-","-"
http://sensing.honeywell.com/index.php?ci_id=54956,//media.digikey.com/Photos/Honeywell%20Photos/ES120-0030.jpg,480-6673-ND,ES120-0030,Honeywell Sensing and Productivity Solutions,TEMP PROBE IMMERSION NTC,154,0,"11.00000","0","1","-","-","Active","Thermistor","-40°C ~ 150°C","-","-","Connector"
https://radiobridge.com/documents/Wireless%20External%20Probe%20Temperature%20Sensor%20User%20Guide.pdf,//media.digikey.com/photos/Radio-Bridge-Inc/RBS301-TEMP-EXT-US.jpg,2027-1010-ND,RBS301-TEMP-EXT-US,Radio Bridge Inc.,LORA THERMISTOR TEMP SENSOR,98,0,"69.00000","0","1","-","-","Active","-","-30°C ~ 70°C","-","-","-"
https://radiobridge.com/documents/Wireless%20Thermocouple%20Temperature%20Sensor%20Product%20Brief.pdf,//media.digikey.com/Photos/Radio-Bridge-Inc/RBS306-TEMP-TC-US.jpg,2027-RBS306-TEMP-TC-US-ND,RBS306-TEMP-TC-US,Radio Bridge Inc.,TEMP SENSOR LORA THERMOCOUPLE K,34,0,"129.00000","0","1","-","-","Active","K - Type","-40°C ~ 70°C","-","-","-"
http://sensing.honeywell.com/honeywell-sensing-temperature-probes-ltp-series-datasheet-32309592-e-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/MFG_LTPCTxA.jpg,480-6468-ND,LTPCTGA20UEBITX01,Honeywell Sensing and Productivity Solutions,TEMP PROBE,113,0,"11.23000","0","1","-","LTP","Active","Thermistor","-40 ~ 150°C","-","Non-Grounded","Connector"
http://sensing.honeywell.com/honeywell-sensing-temperature-probes-ltp-series-datasheet-32309592-e-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/MFG_LTPCTxA.jpg,480-6447-ND,LTPCTAA20UEBITX01,Honeywell Sensing and Productivity Solutions,TEMP PROBE,116,0,"12.85000","0","1","-","LTP","Active","Thermistor","-40 ~ 150°C","-","Non-Grounded","Connector"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/642_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_642.jpg,1528-2149-ND,642,Adafruit Industries LLC,HIGH TEMP WATERPROOF DS18B20 DIG,101,0,"14.95000","0","1","-","-","Active","-","-55°C ~ 125°C","35.43"" (900.00mm)","-","Wire to Board"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-72-6-ND,A8B-72-6,Nanmac,THERMOCOUPLE K TYP INCONEL .25""D,50,0,"55.56000","0","1","Box","A8B","Active","K - Type","-210°C ~ 1090°C","6.000"" (152.40mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-58-24-ND,A8B-58-24,Nanmac,THERMOCOUPLE J TYP INCONEL .125"",50,0,"56.53000","0","1","Box","A8B","Active","J - Type","-210°C ~ 1090°C","24.000"" (609.60mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-24-18-ND,A8B-24-18,Nanmac,THERMOCOUPLE K TYP SS304 .25""DIA,50,0,"56.76000","0","1","Box","A8B","Active","K - Type","-270°C ~ 925°C","18.000"" (457.20mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-60-6-ND,A8B-60-6,Nanmac,THERMOCOUPLE J TYP INCONEL .25""D,50,0,"57.23000","0","1","Box","A8B","Active","J - Type","-210°C ~ 1090°C","6.000"" (152.40mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-12-18-ND,A8B-12-18,Nanmac,THERMOCOUPLE J TYP SS304 .25""DIA,50,0,"57.42000","0","1","Box","A8B","Active","J - Type","-210°C ~ 925°C","18.000"" (457.20mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-24-24-ND,A8B-24-24,Nanmac,THERMOCOUPLE K TYP SS304 .25""DIA,50,0,"58.95000","0","1","Box","A8B","Active","K - Type","-270°C ~ 925°C","24.000"" (609.60mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-72-12-ND,A8B-72-12,Nanmac,THERMOCOUPLE K TYP INCONEL .25""D,50,0,"59.72000","0","1","Box","A8B","Active","K - Type","-210°C ~ 1090°C","12.000 (304.80mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-12-24-ND,A8B-12-24,Nanmac,THERMOCOUPLE J TYP SS304 .25""DIA,50,0,"59.76000","0","1","Box","A8B","Active","J - Type","-210°C ~ 925°C","24.000"" (609.60mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-60-12-ND,A8B-60-12,Nanmac,THERMOCOUPLE J TYP INCONEL .25""D,50,0,"62.13000","0","1","Box","A8B","Active","J - Type","-210°C ~ 1090°C","12.000 (304.80mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-72-18-ND,A8B-72-18,Nanmac,THERMOCOUPLE K TYP INCONEL .25""D,50,0,"63.88000","0","1","Box","A8B","Active","K - Type","-210°C ~ 1090°C","18.000"" (457.20mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-60-18-ND,A8B-60-18,Nanmac,THERMOCOUPLE J TYP INCONEL .25""D,50,0,"67.04000","0","1","Box","A8B","Active","J - Type","-210°C ~ 1090°C","18.000"" (457.20mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-72-24-ND,A8B-72-24,Nanmac,THERMOCOUPLE K TYP INCONEL .25""D,50,0,"68.03000","0","1","Box","A8B","Active","K - Type","-210°C ~ 1090°C","24.000"" (609.60mm)","Non-Grounded","Exposed Lead Wires"
http://pwwnan.com/documents/a8b.pdf,//media.digikey.com/Photos/Nanmac/MFG_A8B.jpg,2247-A8B-60-24-ND,A8B-60-24,Nanmac,THERMOCOUPLE J TYP INCONEL .25""D,50,0,"71.94000","0","1","Box","A8B","Active","J - Type","-210°C ~ 1090°C","24.000"" (609.60mm)","Non-Grounded","Exposed Lead Wires"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/20009210.pdf,//media.digikey.com/photos/TE%20Connectivity/20009210-00.jpg,223-1930-ND,20009210-00,TE Connectivity Measurement Specialties,TYPE J THERMOCOUPLE,149,0,"79.72000","0","1","-","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/20009210.pdf,//media.digikey.com/photos/TE%20Connectivity/20009210-01.jpg,223-1931-ND,20009210-01,TE Connectivity Measurement Specialties,TYPE K THERMOCOUPLE,148,0,"79.72000","0","1","-","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/20009210.pdf,//media.digikey.com/photos/TE%20Connectivity/20009210-02.jpg,223-1932-ND,20009210-02,TE Connectivity Measurement Specialties,TYPE T THERMOCOUPLE,148,0,"79.72000","0","1","-","*","Active","-","-","-","-","-"
