"Part number","Description","Order Now","SubFamily","Interface","Operating temperature range (C)","Local sensor accuracy(Max) (+/- C)","Rating","Package Group","Package size: mm2:W x L (PKG)","Supply voltage  (Min) (V)","Supply voltage (Max) (V)","Supply current(Max) (uA)"
"TMP235"," ±1.2°C 2.3V to 5.5V analog output temperature sensor with -13.6 mV/°C gain ","=HYPERLINK(""https://www.ti.com/product/TMP235/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 150","1.2","Catalog","SC70|5, SOT-23|3","4 mm2: 2.1 x 2 (SC70|5), 7 mm2: 2.37 x 2.92 (SOT-23|3)","2.3","5.5","12"
"LM50","&plusmn;2&deg;C analog output temperature sensor, with 10mV/&deg;C gain","=HYPERLINK(""https://www.ti.com/product/LM50/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 125","2","Catalog","SOT-23|3","7 mm2: 2.37 x 2.92 (SOT-23|3)","4.5","10","130"
"LMT88","&plusmn;2.5&deg;C analog output temperature sensor, with -11.77mV/&deg;C gain","=HYPERLINK(""https://www.ti.com/product/LMT88/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-55 to 130","5","Catalog","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","2.4","5.5","7"
"LMT89","&plusmn;4&deg;C analog output temperature sensor, with -11.77mV/&deg;C gain","=HYPERLINK(""https://www.ti.com/product/LMT89/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-55 to 130","2.5","Catalog","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","2.4","5.5","7"
"LMT84","1.5V-Capable, 10 uA Analog Output Temperature Sensor in SC70 and TO-92","=HYPERLINK(""https://www.ti.com/product/LMT84/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","2.7","Catalog","SC70|5, TO-92|3, TO-92|3","4 mm2: 2.1 x 2 (SC70|5), 6 mm2: 1.52 x 4 (TO-92|3), 19 mm2: 3.68 x 5.2 (TO-92|3)","1.5","5.5","8.1"
"LMT85","1.8V-Capable, 10 uA Analog Output Temperature Sensor in SC70 and TO-92","=HYPERLINK(""https://www.ti.com/product/LMT85/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","2.7","Catalog","SC70|5, TO-92|3, TO-92|3","4 mm2: 2.1 x 2 (SC70|5), 6 mm2: 1.52 x 4 (TO-92|3), 19 mm2: 3.68 x 5.2 (TO-92|3)","1.8","5.5","8.1"
"LMT86","2.2V-Capable, 10 uA Analog Output Temperature Sensor in SC70 and TO-92","=HYPERLINK(""https://www.ti.com/product/LMT86/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","2.7","Catalog","SC70|5, TO-92|3, TO-92|3","4 mm2: 2.1 x 2 (SC70|5), 6 mm2: 1.52 x 4 (TO-92|3), 19 mm2: 3.68 x 5.2 (TO-92|3)","2.2","5.5","8.1"
"TMP235-Q1","Automotive  ±1.5°C 2.7V to 5.5V analog output temperature sensor with -13.6 mV/°C gain","=HYPERLINK(""https://www.ti.com/product/TMP235-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog output","-40 to 125,
-40 to 150","1.5","Automotive","SC70|5, SOT-23|3","4 mm2: 2.1 x 2 (SC70|5), 7 mm2: 2.37 x 2.92 (SOT-23|3)","2.3","5.5","12"
"LMT84-Q1","Automotive Grade, 1.5V-Capable,10 uA Analog Output Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/LMT84-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","2.7","Automotive","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","1.5","5.5","8.1"
"LMT85-Q1","Automotive Grade, 1.8V-Capable, 10 uA Analog Output Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/LMT85-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","2.7","Automotive","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","1.8","5.5","8.1"
"LMT86-Q1","Automotive Grade, 2.2V-Capable, 10 uA Analog Output Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/LMT86-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","2.7","Automotive","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","2.2","5.5","8.1"
"LM94021-Q1","Automotive Grade, ±1.5°C Temperature Sensor with Multiple Gain Analog Output Options","=HYPERLINK(""https://www.ti.com/product/LM94021-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","1.5","Automotive","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","1.5","5.5","12"
"LM94022-Q1","Automotive Grade, ±1.5°C Temperature Sensor with Multiple Gain and Class-AB Analog Output","=HYPERLINK(""https://www.ti.com/product/LM94022-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","1.5","Automotive","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","1.5","5.5","8.1"
"LMT87-Q1","Automotive ±2°C 2.7V to 5.5V analog output temperature sensor with -13.6 mV/°C gain","=HYPERLINK(""https://www.ti.com/product/LMT87-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","2","Automotive","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","2.7","5.5","8.1"
"LMT90","Positive +10.0mV/°C Gain Analog Output Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/LMT90/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 125","4","Catalog","SOT-23|3","7 mm2: 2.37 x 2.92 (SOT-23|3)","4.5","10","130"
